epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3607.1,1.17894,0.72185,1.10233,0.94659,0.8,0.87564,0.49303,1.41794,0.88952,1.34889,0.0011882,0.0011882,0.0011882
43,3694.93,1.22821,0.72764,1.12853,0.91539,0.79717,0.8511,0.48523,1.43464,0.88709,1.33751,0.0011684,0.0011684,0.0011684
44,3785.89,1.21861,0.71729,1.1079,0.83958,0.8264,0.85469,0.50483,1.45291,0.77331,1.38668,0.0011486,0.0011486,0.0011486
45,3879.56,1.16058,0.69657,1.12791,0.90137,0.85263,0.89456,0.50434,1.49542,0.7714,1.38746,0.0011288,0.0011288,0.0011288
46,3959.58,1.17091,0.69669,1.13384,0.91677,0.84211,0.89515,0.51267,1.41533,0.78546,1.35536,0.001109,0.001109,0.001109
47,4037.81,1.12028,0.6501,1.09334,0.91629,0.76842,0.85927,0.51345,1.48342,0.82334,1.38678,0.0010892,0.0010892,0.0010892
48,4119.72,1.06691,0.62129,1.05738,0.87002,0.8455,0.87477,0.5013,1.40366,0.80018,1.39086,0.0010694,0.0010694,0.0010694
49,4197.95,1.14382,0.65766,1.09193,0.87793,0.84211,0.85435,0.50022,1.41374,0.8097,1.34823,0.0010496,0.0010496,0.0010496
50,4279.17,1.14007,0.64432,1.11832,0.90586,0.84211,0.88249,0.50557,1.40564,0.8471,1.33334,0.0010298,0.0010298,0.0010298
51,4360.65,1.16559,0.67822,1.13166,0.86523,0.81096,0.85829,0.51304,1.42959,0.80859,1.37387,0.00101,0.00101,0.00101
52,4445.64,1.14665,0.6455,1.09344,0.86964,0.84267,0.86313,0.53587,1.36123,0.82635,1.3382,0.0009902,0.0009902,0.0009902
53,4533.4,1.09499,0.62085,1.09693,0.91455,0.81053,0.8661,0.51229,1.4045,0.78408,1.34943,0.0009704,0.0009704,0.0009704
54,4608.15,1.10253,0.64504,1.07235,0.85852,0.83037,0.8338,0.48289,1.43952,0.83625,1.37781,0.0009506,0.0009506,0.0009506
